date,open,high,low,close,volume,daily_return_pct,daily_range,ma_20,ma_50,ma_200,ema_12,ema_26,macd,macd_signal,bb_upper,bb_lower,bb_width,rsi_14,volume_ma_20,cumulative_return_pct,year,month,quarter,day_of_week
2019-07-29,158.45,158.45,155.95,157.7,50895,-0.6301,2.5,156.3725,150.644,148.9255,157.0252,155.0836,1.9415,1.8505,160.9028,151.8422,9.0606,53.7778,71449.25,805.83,2019,7,3,monday
2019-07-30,157.9,157.9,154.25,155.9,57834,-1.1414,3.65,156.5075,150.827,149.0015,156.8521,155.1441,1.708,1.822,160.7941,152.2209,8.5732,53.304,71827.75,795.49,2019,7,3,tuesday
2019-07-31,155.1,157.25,154.7,154.7,48893,-0.7697,2.55,156.4325,150.982,149.086,156.521,155.1112,1.4098,1.7396,160.7936,152.0714,8.7222,50.7337,70268.3,788.6,2019,7,3,wednesday
2019-08-01,154.5,155.6,153.55,154.75,41666,0.0323,2.05,156.2825,151.154,149.1723,156.2485,155.0845,1.1641,1.6245,160.6591,151.9059,8.7533,48.8017,69073.5,788.88,2019,8,3,thursday
2019-08-02,151.45,152.0,148.2,150.9,89401,-2.4879,3.8,155.9825,151.32,149.2223,155.4257,154.7745,0.6512,1.4298,160.962,151.003,9.9589,37.9722,70751.9,766.77,2019,8,3,friday
2019-08-05,149.0,149.5,145.7,147.35,55466,-2.3525,3.8,155.4975,151.38,149.2365,154.1833,154.2245,-0.0413,1.1356,161.7627,149.2323,12.5305,31.9716,71209.95,746.38,2019,8,3,monday
2019-08-06,148.1,149.3,146.7,146.95,67840,-0.2715,2.6,155.045,151.411,149.2538,153.0705,153.6857,-0.6152,0.7854,162.3743,147.7157,14.6586,34.3512,70966.1,744.08,2019,8,3,tuesday
2019-08-07,147.55,149.7,146.05,147.3,78303,0.2382,3.65,154.69,151.415,149.2803,152.1827,153.2127,-1.03,0.4223,162.7973,146.5827,16.2147,38.4774,71131.55,746.09,2019,8,3,wednesday
2019-08-08,149.8,149.8,147.55,148.65,46534,0.9165,2.25,154.405,151.479,149.329,151.6392,152.8747,-1.2355,0.0908,162.9515,145.8585,17.093,40.4382,68628.95,753.84,2019,8,3,thursday
2019-08-09,147.95,148.5,145.2,145.65,56063,-2.0182,3.3,153.9225,151.499,149.3618,150.7178,152.3395,-1.6217,-0.2517,163.305,144.54,18.765,33.7638,66557.7,736.61,2019,8,3,friday
2019-08-12,146.6,146.95,144.9,145.5,52883,-0.103,2.05,153.35,151.567,149.4063,149.915,151.8329,-1.9179,-0.5849,163.3328,143.3672,19.9655,16.7816,66357.45,735.75,2019,8,3,monday
2019-08-13,145.0,149.25,143.65,146.9,64118,0.9622,5.6,152.82,151.656,149.4853,149.4512,151.4675,-2.0163,-0.8712,162.9987,142.6413,20.3574,16.7816,66922.05,743.79,2019,8,3,tuesday
2019-08-14,147.0,147.0,142.75,143.85,48169,-2.0762,4.25,152.255,151.581,149.532,148.5895,150.9032,-2.3138,-1.1597,163.1204,141.3896,21.7309,16.8591,67513.45,726.27,2019,8,3,wednesday
2019-08-15,144.55,144.75,140.75,142.75,89348,-0.7647,4.0,151.7475,151.527,149.5733,147.6911,150.2993,-2.6082,-1.4494,163.4054,140.0896,23.3157,14.1573,68035.9,719.95,2019,8,3,thursday
2019-08-16,142.5,143.9,142.5,143.5,42741,0.5254,1.4,151.25,151.496,149.5978,147.0463,149.7956,-2.7493,-1.7094,163.4391,139.0609,24.3782,17.7273,65938.95,724.26,2019,8,3,friday
2019-08-19,144.9,146.8,144.65,146.3,44561,1.9512,2.15,150.8425,151.52,149.6113,146.9315,149.5367,-2.6052,-1.8886,163.1257,138.5593,24.5664,29.1304,65402.2,740.35,2019,8,3,monday
2019-08-20,146.3,146.65,144.3,144.45,38899,-1.2645,2.35,150.0675,151.468,149.6045,146.5497,149.1599,-2.6102,-2.0329,161.878,138.257,23.6211,28.3298,60507.55,729.72,2019,8,3,tuesday
2019-08-21,144.6,147.4,144.3,146.2,39922,1.2115,3.1,149.31,151.476,149.595,146.4959,148.9407,-2.4447,-2.1153,159.96,138.66,21.3,33.1361,59408.8,739.77,2019,8,3,wednesday
2019-08-22,145.7,147.55,145.1,145.45,74927,-0.513,2.45,148.6725,151.467,149.5662,146.335,148.6821,-2.3471,-2.1616,158.5826,138.7624,19.8202,37.7528,57332.35,735.46,2019,8,3,thursday
2019-08-23,145.7,147.0,143.75,144.1,46354,-0.9281,3.25,147.9425,151.467,149.5312,145.9912,148.3427,-2.3515,-2.1996,156.8419,139.0431,17.7988,41.8953,56740.85,727.71,2019,8,3,friday
2019-08-26,143.8,145.0,142.4,144.0,60718,-0.0694,2.6,147.2575,151.447,149.4962,145.6848,148.021,-2.3362,-2.2269,155.0326,139.4824,15.5502,42.5316,57232.0,727.13,2019,8,3,monday
